"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "Markdown", "XML", "comment", "blank", "total"
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\admin\overview\Charts.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 8, 56
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\admin\overview\Last7DaySalesChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 34
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\admin\overview\OverviewCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\admin\products\add-product\Dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 186, 0, 0, 0, 0, 13, 199
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\admin\products\add-product\ImagesInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 6, 58
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\admin\products\add-product\SubmitBtn.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\admin\products\table\ProductTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 91, 0, 0, 0, 0, 5, 96
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\admin\products\table\Products.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\admin\users\UsersTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 56, 0, 0, 0, 0, 5, 61
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\auth\AuthPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\auth\AvatarInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 10, 49
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\auth\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 88, 0, 0, 0, 0, 7, 95
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\auth\SignupForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 96, 0, 0, 0, 0, 6, 102
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\cart\ItemCell.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 5, 32
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\cart\ItemsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 84, 0, 0, 0, 0, 5, 89
